filename,location,pages,mentions,source,location_type,geocode_lat,geocode_lon,geocode_str,geocode_type
2008_MATABANE_FE3.txt,1534765; 0216396,26,"Fig. 6: Slump folds and soft sediment deformation in the lower slump facies. Location: FE3-pit 
2; GPS= 1534765; 0216396. Carbonate host rock 
Sulphide  vein  crosscutting  the 
host rock and the quartz vein 
Quartz vein cross-cutting the 
carbonate host rock 
Fig. 7: Quartz vein and sulphide veins cross-cutting calcite host rock (magnification 4X). Sample DFE3-046-005.",llm,GPS,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
2008_MATABANE_FE3.txt,1534836; 0216256,29,"Sericite alteration 
0.1mm 
Fig. 12: Deuteric alteration; (magnification 4X). Sample 195. Host rock 
granodiorite 
Fig. 13: Granodiorite dyke; Location: FE3-pit 2; GPS= 1534836; 0216256. 29",llm,GPS,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
2008_MATABANE_FE3.txt,1535190; 0216237,28,"Fig. 10: Slumps (with a glide surface, glide zone containing olistoliths and slump folds in the 
upper slump facies. Location: FE3-pit 2; GPS= 1535190; 0216237. Fig. 11: Turbidite beds (with erosion surfaces and fining beds) in the siltstone-greywacke unit. Photo taken from FE4 open cast where the turbidites are overturned and best exposed.",llm,GPS,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
2008_MATABANE_FE3.txt,1535909; 0215872,30,"Sericite replacing the feldspars  
Fig. 14: Sericite alteration in the granodiorite (magnification 4X). Sample 195. 0.1mm
Fig. 15: Breccia consisting of irregular clasts in an iron-oxide matrix. Location: FE3-pit 1; 
GPS= 1535909; 0215872.",llm,GPS,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
2008_MATABANE_FE3.txt,80 km west of Bamako,7,"Also the tectonic setting and the relative timing of 
gold mineralization will be determined. Determining the relative timing of gold mineralization 
will  assist  in  predicting  the  occurrence  of  gold  in  new  exploration  projects  in  the  Sadiola 
area. 1.2 Location and physiography 
The FE3 open cast is located in the Sadiola area in Mali, West Africa. The Sadiola goldfield 
is located 80 km west of the capital city of Bamako on the western border of Senegal and 
Mali  (Fig. 1). Mali  is  a  landlocked,  Sahel  country  and  is  mostly  semi-desert  or  desert.",llm,APPROXIMATE,12.649319,-8.000337,"Bamako, Mali",APPROXIMATE
2008_MATABANE_FE3.txt,Africa,13,"In the 16th century, the Gold Coast of West 
Africa accounted for 35% of the entire world’s gold production although gold production had 
decreased  significantly  since  that  time  (Béziat  et  al.,  2008). Major  gold  deposits  occur  in 
Ghana, Burkina Faso and Mali. The Ghanaian gold province is the largest in West Africa and 
is considered a world-class gold deposit region (Komla, 1993). Ghana and Mali are currently 
the second and third largest gold producers in Africa, respectively (Middleton, 2007). Three  types  of  primary  deposit  have  been  distinguished  in  West  Africa;  pre-orogenic 
stratiform  deposits;  syn-orogenic  deposits;  late-orogenic  discordant  mesothermal  gold 
mineralization  (Milési  et  al.,  1992). Pre-orogenic  stratiform  deposits  have  been  reported  in 
the  Loulo  district  of  Mali,  which  hosts  tourmalinised  turbidite.",rules,PLACE,11.5024338,17.7578122,Africa,APPROXIMATE
2008_MATABANE_FE3.txt,Alexander Island,37,"10). Ancient  slumps  have  been  reported  in  Country  Clare,  Ireland  and  in  Alexander  Island, 
Antarctica  (Farell,  1984;  Shanmugam,  2000),  and  typically  along  the  edge  of  continental 
margins. The  slumps  of  Country  Clare  in  Ireland  represent  collapsed  slope  deposits  that 
were laid down on an unstable basin slope (Collinson et al., 1991). The slumps of Alexandra 
Island represent mass transported sediments along dislodged from the continental slope into 
a deep marine environments. Modern slumps are common along continental margins and in 
modern  deltas  (  The  Storegga  slumps  in  Norwegian  continental  margin;  Conway  coast  in 
New  Zealand;  Niger  delta  continental  margin;  Mississippi  delta-front  slumps;  slumps  in  the 
gulf of Mexico) (Shanmugam et al.,1988; Jansen et al., 1987; Damuth, 1993; McConnico et 
al., 2007). Slumping can be triggered by gravity, downslope undercutting, and thickening of 
the  sediment  pile  by  deposition,  slumping  up-slope  or  seismic  activity  (Dingle,  1980; 
Martinsen 1994; Betrand et al., 2008).",rules,PLACE,-70.7303893,-69.8195893,Alexander Island,APPROXIMATE
2008_MATABANE_FE3.txt,"Alexander Island, Antarctica",37,"10). Ancient  slumps  have  been  reported  in  Country  Clare,  Ireland  and  in  Alexander  Island, 
Antarctica  (Farell,  1984;  Shanmugam,  2000),  and  typically  along  the  edge  of  continental 
margins. The  slumps  of  Country  Clare  in  Ireland  represent  collapsed  slope  deposits  that 
were laid down on an unstable basin slope (Collinson et al., 1991). The slumps of Alexandra 
Island represent mass transported sediments along dislodged from the continental slope into 
a deep marine environments. Modern slumps are common along continental margins and in 
modern  deltas  (  The  Storegga  slumps  in  Norwegian  continental  margin;  Conway  coast  in 
New  Zealand;  Niger  delta  continental  margin;  Mississippi  delta-front  slumps;  slumps  in  the 
gulf of Mexico) (Shanmugam et al.,1988; Jansen et al., 1987; Damuth, 1993; McConnico et 
al., 2007). Slumping can be triggered by gravity, downslope undercutting, and thickening of 
the  sediment  pile  by  deposition,  slumping  up-slope  or  seismic  activity  (Dingle,  1980; 
Martinsen 1994; Betrand et al., 2008).",llm,PLACE,-72.8438691,0.0,Antarctica,APPROXIMATE
2008_MATABANE_FE3.txt,Alexandra Island,37,"10). Ancient  slumps  have  been  reported  in  Country  Clare,  Ireland  and  in  Alexander  Island, 
Antarctica  (Farell,  1984;  Shanmugam,  2000),  and  typically  along  the  edge  of  continental 
margins. The  slumps  of  Country  Clare  in  Ireland  represent  collapsed  slope  deposits  that 
were laid down on an unstable basin slope (Collinson et al., 1991). The slumps of Alexandra 
Island represent mass transported sediments along dislodged from the continental slope into 
a deep marine environments. Modern slumps are common along continental margins and in 
modern  deltas  (  The  Storegga  slumps  in  Norwegian  continental  margin;  Conway  coast  in 
New  Zealand;  Niger  delta  continental  margin;  Mississippi  delta-front  slumps;  slumps  in  the 
gulf of Mexico) (Shanmugam et al.,1988; Jansen et al., 1987; Damuth, 1993; McConnico et 
al., 2007). Slumping can be triggered by gravity, downslope undercutting, and thickening of 
the  sediment  pile  by  deposition,  slumping  up-slope  or  seismic  activity  (Dingle,  1980; 
Martinsen 1994; Betrand et al., 2008).",rules,PLACE,49.4685291,-123.3856452,"Alexandra Island, Area F (West Howe Sound), Sunshine Coast Regional District, British Columbia, Canada",APPROXIMATE
2008_MATABANE_FE3.txt,Antarctica,37,"10). Ancient  slumps  have  been  reported  in  Country  Clare,  Ireland  and  in  Alexander  Island, 
Antarctica  (Farell,  1984;  Shanmugam,  2000),  and  typically  along  the  edge  of  continental 
margins. The  slumps  of  Country  Clare  in  Ireland  represent  collapsed  slope  deposits  that 
were laid down on an unstable basin slope (Collinson et al., 1991). The slumps of Alexandra 
Island represent mass transported sediments along dislodged from the continental slope into 
a deep marine environments. Modern slumps are common along continental margins and in 
modern  deltas  (  The  Storegga  slumps  in  Norwegian  continental  margin;  Conway  coast  in 
New  Zealand;  Niger  delta  continental  margin;  Mississippi  delta-front  slumps;  slumps  in  the 
gulf of Mexico) (Shanmugam et al.,1988; Jansen et al., 1987; Damuth, 1993; McConnico et 
al., 2007). Slumping can be triggered by gravity, downslope undercutting, and thickening of 
the  sediment  pile  by  deposition,  slumping  up-slope  or  seismic  activity  (Dingle,  1980; 
Martinsen 1994; Betrand et al., 2008).",rules,PLACE,-72.8438691,0.0,Antarctica,APPROXIMATE
